1,1,332,48,378,118,1,1,1
1,2,259,254,283,281,1,1,1
2,3,207,258,276,337,1,1,1
3,4,73,259,199,545,1,1,1
3,5,292,552,300,559,1,1,1
3,6,16,401,287,556,1,1,1
3,7,2,288,209,547,1,1,1
4,8,35,233,216,355,1,1,1
4,9,254,218,594,337,1,1,1
5,19,3,116,210,474,1,1,1
5,10,424,158,614,458,1,1,1
6,11,103,201,181,252,1,1,1
6,12,474,201,570,258,1,1,1
6,13,481,203,567,260,1,1,1
7,14,162,121,338,538,1,1,1
7,15,3,381,412,577,1,1,1
8,16,162,211,413,425,1,1,1
8,17,107,390,530,477,1,1,1
9,18,158,316,395,403,1,1,1
10,19,213,192,382,292,1,1,1
